Parameter,Fisher_dlrm,Fisher_dcnv2,Fisher_autoint,Fisher_deepfm
attention.in_proj_bias,0.0,0.0,0.000427148246672,0.0
attention.in_proj_weight,0.0,0.0,0.0001411338162142,0.0
attention.out_proj.bias,0.0,0.0,0.0005550344940274,0.0
attention.out_proj.weight,0.0,0.0,0.0001523776445537,0.0
bottom_mlp.0.bias,1.7190387779919547e-06,0.0,0.0,0.0
bottom_mlp.0.weight,1.980774868570734e-06,0.0,0.0,0.0
bottom_mlp.2.bias,3.667577857413562e-06,0.0,0.0,0.0
bottom_mlp.2.weight,1.4380940456248936e-06,0.0,0.0,0.0
cross_layers.0.bias,0.0,7.938237104099244e-06,0.0,0.0
cross_layers.0.weight,0.0,6.089664566388819e-06,0.0,0.0
cross_layers.1.bias,0.0,3.786881052292301e-06,0.0,0.0
cross_layers.1.weight,0.0,3.125846887996886e-06,0.0,0.0
cross_layers.2.bias,0.0,3.44109935213055e-06,0.0,0.0
cross_layers.2.weight,0.0,2.358124902457348e-06,0.0,0.0
cross_layers.3.bias,0.0,4.037154667457799e-06,0.0,0.0
cross_layers.3.weight,0.0,2.744296125456458e-06,0.0,0.0
cross_layers.4.bias,0.0,3.7528313896473264e-06,0.0,0.0
cross_layers.4.weight,0.0,2.1582329736702377e-06,0.0,0.0
cross_layers.5.bias,0.0,2.395891442574793e-06,0.0,0.0
cross_layers.5.weight,0.0,1.6386297829740215e-06,0.0,0.0
embedding_layers.brand.weight,8.444385746209092e-10,1.6542132108554595e-09,1.4756467159315891e-09,0.0
embedding_layers.category.weight,1.1002728570019826e-05,1.696458821243141e-05,0.0005292923888191,0.0
embedding_layers.item_id.weight,2.647770891428536e-10,3.9172873278481285e-10,1.4398825187722508e-10,0.0
embedding_layers.user_id.weight,2.367341211950702e-09,2.300746926309216e-09,2.833602907870158e-09,0.0
embeddings.brand.weight,0.0,0.0,0.0,8.221452389989281e-07
embeddings.category.weight,0.0,0.0,0.0,0.7132751941680908
embeddings.item_id.weight,0.0,0.0,0.0,2.095462861007036e-07
embeddings.user_id.weight,0.0,0.0,0.0,2.359305199206574e-06
fm_bias,0.0,0.0,0.0,2.106064558029175
mlp.0.bias,0.0,2.5703225219331216e-06,6.855444371467456e-05,1.8410773277282717
mlp.0.weight,0.0,1.038920686369238e-06,2.575546022853814e-05,0.6031702756881714
mlp.2.bias,0.0,0.0,2.897093872888945e-05,0.2698453664779663
mlp.2.weight,0.0,0.0,9.585009138390888e-06,0.3957058787345886
mlp.3.bias,0.0,2.5775878384592943e-05,0.0,0.0
mlp.3.weight,0.0,4.976937475476007e-07,0.0,0.0
mlp.4.bias,0.0,0.0,0.0021491344086825,2.106064558029175
mlp.4.weight,0.0,0.0,0.0041374880820512,32.35218811035156
mlp.6.bias,0.0,0.0065822326578199,0.0,0.0
mlp.6.weight,0.0,0.0004998844815418,0.0,0.0
norm_layers.0.bias,0.0,1.863470060925465e-05,0.0,0.0
norm_layers.0.weight,0.0,8.618076208222192e-06,0.0,0.0
norm_layers.1.bias,0.0,1.95103475562064e-05,0.0,0.0
norm_layers.1.weight,0.0,7.501288109779125e-06,0.0,0.0
norm_layers.2.bias,0.0,2.661209146026522e-05,0.0,0.0
norm_layers.2.weight,0.0,5.932035946898395e-06,0.0,0.0
norm_layers.3.bias,0.0,2.814278377627488e-05,0.0,0.0
norm_layers.3.weight,0.0,7.478264251403743e-06,0.0,0.0
norm_layers.4.bias,0.0,3.355418084538542e-05,0.0,0.0
norm_layers.4.weight,0.0,5.167896688362816e-06,0.0,0.0
norm_layers.5.bias,0.0,4.4757063733413815e-05,0.0,0.0
norm_layers.5.weight,0.0,1.0574093721515965e-05,0.0,0.0
price_proj.bias,2.0598803530447185e-05,0.0002964064478874,0.0001900258066598,0.0
price_proj.weight,7.030353299342096e-05,1.3964362551632805e-05,5.552580660150852e-06,0.0
top_mlp.0.bias,7.406787972286111e-06,0.0,0.0,0.0
top_mlp.0.weight,3.256345007685013e-05,0.0,0.0,0.0
top_mlp.2.bias,0.000391993089579,0.0,0.0,0.0
top_mlp.2.weight,0.0011130932252854,0.0,0.0,0.0
